Large_B/P,Large_ROE,Large_S/P,Large_Return_Rate_in_the_last_quarter,Large_Market_Value,Small_systematic_Risk,Annual_Return,Excess_Return,Systematic_Risk,Total_Risk,Abs._Win_Rate,Rel._Win_Rate
1.0,0.0,0.0,0.0,0.0,0.0,0.139,0.01,1.33,0.149,0.6629999999999999,0.525
0.0,1.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.01,1.17,0.10800000000000001,0.6629999999999999,0.65
0.0,0.0,1.0,0.0,0.0,0.0,0.17300000000000001,0.018000000000000002,1.3,0.14400000000000002,0.638,0.513
0.0,0.0,0.0,1.0,0.0,0.0,0.096,-0.002,1.39,0.14400000000000002,0.613,0.475
0.0,0.0,0.0,0.0,1.0,0.0,0.096,0.001,1.04,0.087,0.725,0.5379999999999999
0.0,0.0,0.0,0.0,0.0,1.0,0.07,-0.005,1.1,0.11,0.563,0.46299999999999997
0.5,0.5,0.0,0.0,0.0,0.0,0.195,0.026000000000000002,0.97,0.105,0.738,0.638
0.5,0.0,0.5,0.0,0.0,0.0,0.16399999999999998,0.016,1.32,0.149,0.65,0.513
0.0,0.5,0.5,0.0,0.0,0.0,0.185,0.022000000000000002,1.06,0.109,0.675,0.65
0.5,0.0,0.0,0.5,0.0,0.0,0.15,0.015,1.05,0.113,0.7,0.513
0.0,0.5,0.0,0.5,0.0,0.0,0.159,0.015,1.17,0.115,0.675,0.638
0.0,0.0,0.5,0.5,0.0,0.0,0.17,0.018000000000000002,1.16,0.12300000000000001,0.688,0.563
0.5,0.0,0.0,0.0,0.5,0.0,0.14,0.011000000000000001,1.09,0.107,0.7,0.575
0.0,0.5,0.0,0.0,0.5,0.0,0.12300000000000001,0.008,1.01,0.08800000000000001,0.65,0.6629999999999999
0.0,0.0,0.5,0.0,0.5,0.0,0.145,0.013000000000000001,1.07,0.10300000000000001,0.7,0.563
0.0,0.0,0.0,0.5,0.5,0.0,0.09,-0.001,1.15,0.109,0.6629999999999999,0.5
0.5,0.0,0.0,0.0,0.0,0.5,0.11800000000000001,0.009000000000000001,0.97,0.109,0.688,0.5
0.0,0.5,0.0,0.0,0.0,0.5,0.154,0.017,0.99,0.10099999999999999,0.675,0.625
0.0,0.0,0.5,0.0,0.0,0.5,0.138,0.013000000000000001,1.04,0.114,0.638,0.55
0.0,0.0,0.0,0.5,0.0,0.5,0.10099999999999999,0.003,1.12,0.122,0.613,0.488
0.0,0.0,0.0,0.0,0.5,0.5,0.09300000000000001,0.001,1.01,0.091,0.625,0.5
0.333,0.333,0.333,0.0,0.0,0.0,0.192,0.024,1.08,0.11699999999999999,0.7,0.65
0.333,0.333,0.0,0.333,0.0,0.0,0.183,0.023,0.98,0.102,0.725,0.575
0.333,0.0,0.333,0.333,0.0,0.0,0.16399999999999998,0.017,1.14,0.124,0.7,0.488
0.0,0.333,0.333,0.333,0.0,0.0,0.184,0.022000000000000002,1.07,0.109,0.7,0.613
0.333,0.333,0.0,0.0,0.333,0.0,0.147,0.015,0.95,0.092,0.713,0.625
0.333,0.0,0.333,0.0,0.333,0.0,0.168,0.017,1.17,0.122,0.675,0.588
0.0,0.333,0.333,0.0,0.333,0.0,0.146,0.013999999999999999,0.99,0.09300000000000001,0.675,0.6
0.333,0.0,0.0,0.333,0.333,0.0,0.127,0.01,0.99,0.096,0.688,0.5379999999999999
0.0,0.333,0.0,0.333,0.333,0.0,0.124,0.006999999999999999,1.09,0.10099999999999999,0.675,0.588
0.0,0.0,0.333,0.333,0.333,0.0,0.138,0.012,1.04,0.1,0.675,0.6
0.333,0.333,0.0,0.0,0.0,0.333,0.17,0.024,0.82,0.094,0.738,0.563
0.333,0.0,0.333,0.0,0.0,0.333,0.135,0.012,1.07,0.11900000000000001,0.638,0.525
0.0,0.333,0.333,0.0,0.0,0.333,0.185,0.024,0.98,0.105,0.675,0.588
0.333,0.0,0.0,0.333,0.0,0.333,0.127,0.011000000000000001,0.94,0.10099999999999999,0.6629999999999999,0.55
0.0,0.333,0.0,0.333,0.0,0.333,0.156,0.017,0.99,0.10300000000000001,0.65,0.575
0.0,0.0,0.333,0.333,0.0,0.333,0.157,0.016,1.07,0.114,0.65,0.525
0.333,0.0,0.0,0.0,0.333,0.333,0.138,0.013999999999999999,0.96,0.10099999999999999,0.7,0.55
0.0,0.333,0.0,0.0,0.333,0.333,0.138,0.012,0.97,0.08800000000000001,0.638,0.625
0.0,0.0,0.333,0.0,0.333,0.333,0.141,0.013999999999999999,0.95,0.1,0.6629999999999999,0.525
0.0,0.0,0.0,0.333,0.333,0.333,0.09,0.0,1.13,0.113,0.588,0.45
0.25,0.25,0.25,0.25,0.0,0.0,0.191,0.024,1.06,0.113,0.7,0.575
0.25,0.25,0.25,0.0,0.25,0.0,0.17,0.019,1.02,0.10300000000000001,0.713,0.65
0.25,0.25,0.0,0.25,0.25,0.0,0.15,0.015,0.98,0.09300000000000001,0.7,0.613
