,the weight of the stock-picking concept,,,,,,the original investment performance indicator,,,,,
ID, Large B/P , Large ROE , Large S/P , Large Return Rate in the last quarter , Large Market Value , Small systematic Risk,Annual Return,Excess Return,Systematic Risk,Total Risk,Abs. Win Rate,Rel. Win Rate
1,1,0,0,0,0,0,13.90%,1.00%,1.33,14.90%,66.30%,52.50%
2,0,1,0,0,0,0,14.30%,1.00%,1.17,10.80%,66.30%,65.00%
3,0,0,1,0,0,0,17.30%,1.80%,1.3,14.40%,63.80%,51.30%
4,0,0,0,1,0,0,9.60%,-0.20%,1.39,14.40%,61.30%,47.50%
5,0,0,0,0,1,0,9.60%,0.10%,1.04,8.70%,72.50%,53.80%
6,0,0,0,0,0,1,7.00%,-0.50%,1.1,11.00%,56.30%,46.30%
7,0.5,0.5,0,0,0,0,19.50%,2.60%,0.97,10.50%,73.80%,63.80%
8,0.5,0,0.5,0,0,0,16.40%,1.60%,1.32,14.90%,65.00%,51.30%
9,0,0.5,0.5,0,0,0,18.50%,2.20%,1.06,10.90%,67.50%,65.00%
10,0.5,0,0,0.5,0,0,15.00%,1.50%,1.05,11.30%,70.00%,51.30%
11,0,0.5,0,0.5,0,0,15.90%,1.50%,1.17,11.50%,67.50%,63.80%
12,0,0,0.5,0.5,0,0,17.00%,1.80%,1.16,12.30%,68.80%,56.30%
13,0.5,0,0,0,0.5,0,14.00%,1.10%,1.09,10.70%,70.00%,57.50%
14,0,0.5,0,0,0.5,0,12.30%,0.80%,1.01,8.80%,65.00%,66.30%
15,0,0,0.5,0,0.5,0,14.50%,1.30%,1.07,10.30%,70.00%,56.30%
16,0,0,0,0.5,0.5,0,9.00%,-0.10%,1.15,10.90%,66.30%,50.00%
17,0.5,0,0,0,0,0.5,11.80%,0.90%,0.97,10.90%,68.80%,50.00%
18,0,0.5,0,0,0,0.5,15.40%,1.70%,0.99,10.10%,67.50%,62.50%
19,0,0,0.5,0,0,0.5,13.80%,1.30%,1.04,11.40%,63.80%,55.00%
20,0,0,0,0.5,0,0.5,10.10%,0.30%,1.12,12.20%,61.30%,48.80%
21,0,0,0,0,0.5,0.5,9.30%,0.10%,1.01,9.10%,62.50%,50.00%
22,0.333,0.333,0.333,0,0,0,19.20%,2.40%,1.08,11.70%,70.00%,65.00%
23,0.333,0.333,0,0.333,0,0,18.30%,2.30%,0.98,10.20%,72.50%,57.50%
24,0.333,0,0.333,0.333,0,0,16.40%,1.70%,1.14,12.40%,70.00%,48.80%
25,0,0.333,0.333,0.333,0,0,18.40%,2.20%,1.07,10.90%,70.00%,61.30%
26,0.333,0.333,0,0,0.333,0,14.70%,1.50%,0.95,9.20%,71.30%,62.50%
27,0.333,0,0.333,0,0.333,0,16.80%,1.70%,1.17,12.20%,67.50%,58.80%
28,0,0.333,0.333,0,0.333,0,14.60%,1.40%,0.99,9.30%,67.50%,60.00%
29,0.333,0,0,0.333,0.333,0,12.70%,1.00%,0.99,9.60%,68.80%,53.80%
30,0,0.333,0,0.333,0.333,0,12.40%,0.70%,1.09,10.10%,67.50%,58.80%
31,0,0,0.333,0.333,0.333,0,13.80%,1.20%,1.04,10.00%,67.50%,60.00%
32,0.333,0.333,0,0,0,0.333,17.00%,2.40%,0.82,9.40%,73.80%,56.30%
33,0.333,0,0.333,0,0,0.333,13.50%,1.20%,1.07,11.90%,63.80%,52.50%
34,0,0.333,0.333,0,0,0.333,18.50%,2.40%,0.98,10.50%,67.50%,58.80%
35,0.333,0,0,0.333,0,0.333,12.70%,1.10%,0.94,10.10%,66.30%,55.00%
36,0,0.333,0,0.333,0,0.333,15.60%,1.70%,0.99,10.30%,65.00%,57.50%
37,0,0,0.333,0.333,0,0.333,15.70%,1.60%,1.07,11.40%,65.00%,52.50%
38,0.333,0,0,0,0.333,0.333,13.80%,1.40%,0.96,10.10%,70.00%,55.00%
39,0,0.333,0,0,0.333,0.333,13.80%,1.20%,0.97,8.80%,63.80%,62.50%
40,0,0,0.333,0,0.333,0.333,14.10%,1.40%,0.95,10.00%,66.30%,52.50%
41,0,0,0,0.333,0.333,0.333,9.00%,0.00%,1.13,11.30%,58.80%,45.00%
42,0.25,0.25,0.25,0.25,0,0,19.10%,2.40%,1.06,11.30%,70.00%,57.50%
43,0.25,0.25,0.25,0,0.25,0,17.00%,1.90%,1.02,10.30%,71.30%,65.00%
44,0.25,0.25,0,0.25,0.25,0,15.00%,1.50%,0.98,9.30%,70.00%,61.30%
45,0.25,0,0.25,0.25,0.25,0,15.30%,1.50%,1.08,11.10%,66.30%,53.80%
46,0,0.25,0.25,0.25,0.25,0,15.20%,1.40%,1.05,9.80%,67.50%,62.50%
47,0.25,0.25,0.25,0,0,0.25,17.70%,2.30%,0.97,10.80%,68.80%,58.80%
48,0.25,0.25,0,0.25,0,0.25,17.00%,2.30%,0.86,9.40%,67.50%,63.80%
49,0.25,0,0.25,0.25,0,0.25,15.40%,1.70%,1.04,11.70%,65.00%,51.30%
